Title,Employer,Location,Date,Description,Industry,Source,Link
Loader Operator,The Shaw Group Limited,Belledune,"Jun 15, 2024",The Shaw Group Limited is one of the 50 Best-Managed Companies in Canada and is one of Eastern Canada's leading natural resource manufacturers and community developers. Shaw Renewables a division of The Shaw Group produces and packages...,"Trades, Transport, Construction",CareerBeacon,https://www.careerbeacon.com/en/job/2078667/the-shaw-group-limited/loader-operator/belledune-nb
Residence Operations Coordinator,University of New Brunswick,Fredericton,"Jun 15, 2024","Closing Date: June 21st, 2024 at 4:00 PM Student Affairs & Services The primary purpose of Student Affairs & Services (SAS) is to support students in achieving their academic, personal, and life goals. In keeping with this, SAS develops and delivers...","Sales, Services",Grabjobs CA,https://grabjobs.co/canada/job/full-time/admin-operations/residence-operations-coordinator-50249914
Decorator Bakery,Loblaw Companies Ltd,Tracadie-Sheila,"Jun 15, 2024","Referred applicants should not apply directly to this role. All referred applicants must first be submitted through Workday by a current Loblaw Colleague. Come make your difference in communities across Canada, where authenticity, trust and making...","Arts, Cultural, Recreation, Sports",Loblaw Companies Ltd,https://myview.wd3.myworkdayjobs.com/en-US/loblaw_careers/job/3455-rue-Principale-Tracadie-NB/Decorator-bakery_R2000471545
Meat Colleague PT,Loblaw Companies Ltd - Head Office,Grand Falls,"Jun 15, 2024",Description Les candidats référés ne doivent pas postuler directement pour ce poste. Toutes les références de candidats doivent d’abord être soumises dans Workday par un collègue de Loblaw actuel. L’utilisation du masculin à pour but d’alléger le...,"Sales, Services",Jobillico,https://www.jobillico.com/fr/offre-d-emploi/loblaw-companies-ltd-head-officeeCkdVu/meat-colleague-pt/14023785?lshs=7706d62e2407b88e4bed8df348146b763a107e82aa7b3996fd57a492a51da6d1&ipg=82&lijn=14023785&lijp=23628153&lirk=1&lids=0&lisp=0&liet=2
"Sales Associate / Jewelry Consultant - Peoples Jewellers - Champlain Place - Moncton, NB",Signet Jewelers Limited,Dieppe,"Jun 15, 2024","We have many opportunities available on our other career site pages. Click here to link to our careers page! Peoples Jewellers is a people-first company, and we recognize that our jewellery consultants are every bit as dynamic and brilliant as the...","Sales, Services",Signet Jewelers Limited,https://signetjewelers.wd1.myworkdayjobs.com/en-US/signetjeweleryretailsales/job/Canada---Champlain-Place---Dieppe-NB/Sales-Associate---Jewelry-Consultant---Peoples---Champlain-Place---Moncton--NB_PE05257PE
Director Total Rewards,Irvingoil,Saint John,"Jun 15, 2024","The Director of Total Rewards plays an integral role within the organization, as a member of the Human Resources Leadership team. Your main responsibility will be to lead and develop the Total Rewards function, focusing on the strategic direction,...",Management,Irvingoil,https://irvingoil.wd3.myworkdayjobs.com/en-US/IOL_Careers_All-Positions/job/Saint-John/Director-Total-Rewards_R124416
Pharmacy Assistant I (PT),Lawtons,Fredericton,"Jun 15, 2024",Requisition ID: 183536 Career Group: Pharmacy Careers Job Category: Retail - Pharmacy Travel Requirements: 0 - 10% Job Type: Part-Time Country: Canada (CA) Province: New Brunswick City: Fredericton Location: 0117 Brookside Mall Lawtons Pharm Postal...,Health,Lawtons,https://jobs.sobeyscareers.com/lawtons-drugs/job/Fredericton-Pharmacy-Assistant-I-%28PT%29-New-E3A8V4/1178884200/
Regional Sales Manager,"Bodorlaser, Inc",Moncton,"Jun 15, 2024","C ompan y Summary: Bodor Laser is a professional manufacturer and exporter dedicated to the design, R&D and production of fiber laser machines that are widely used for cutting different metal materials. With 20 service languages, a knowledgeable...",Management,CareerBeacon,https://www.careerbeacon.com/en/job-9/1355843/bodorlaser-inc/regional-sales-manager/moncton-nb
Customer Service Representative (Motivator) - Moncton Mapleton Centre,GOODLIFE FITNESS,Moncton,"Jun 15, 2024",CUSTOMER SERVICE REPRESENTATIVE (MOTIVATOR) Who is a Customer Service Representative (Motivator)? The Motivator role is critical to the success of our GoodLife Fitness Clubs. A Motivator is typically the first Associate a Member or Potential Member...,"Sales, Services",CareerBeacon,https://www.careerbeacon.com/en/job-4/1354113/goodlife-fitness/customer-service-representative-motivator-moncton-mapleton-centre/moncton-nb
Moncton Litigation Lawyer,McInnes Cooper,Moncton,"Jun 15, 2024","About The Opportunity Owing to McInnes Cooper's growth strategy, we are currently seeking an experienced Litigation Associate to join our thriving litigation team in Moncton, New Brunswick . The litigation team provides highly diversified litigation...","Social, Legal, Education, Gov't",Clearlegaljobs,https://clearlegaljobs.com/job/7485/moncton-litigation-lawyer/
Adjoint administratif/adjointe administrative (non-clinique) (1035),Vitalité Health Network,Moncton,"Jun 15, 2024",NOTE: Les personnes intéressées doivent annexer leur curriculum vitae à leur demande. SOMMAIRE DE L'EMPLOI : Offrir un soutien administratif étendu à divers services ou programmes. EXIGENCES : - Diplôme d’études secondaires ou d’études générales...,"Business, Finance, Administration",Vitalité Health Network,https://vitalitenb.itacit.com/itacit-career-ui/postings/182786?CLIENT=73224542677&SID=4&LANGUAGE=fr
Indigenous Clinical Patient Navigator,Vitalité Health Network,Moncton,"Jun 15, 2024","DEPARTMENT: Discharge Planning ANTICIPATED START DATE: 28 Jul 2024 BARGAINING UNIT: Management and Non-Bargaining JOB TYPE: Permanent full-time SCHEDULE: Day, 8 and 12-hour shifts. Work schedule may be changed to meet operational needs. LANGUAGE...",Health,CareerBeacon,https://www.careerbeacon.com/en/job/2077387/vitalite-health-network/indigenous-clinical-patient-navigator/moncton-nb
Soutien administratif (clinique) (1025),Vitalité Health Network,Campbellton,"Jun 15, 2024","SOMMAIRE DE L'EMPLOI : Sous la direction du directeur adjoint du Centre Hospitalier Restigouche, le/la titulaire de ce poste travaille au sein d’une équipe multidisciplinaire en offrant des services auprès d’une clientèle variée. Cette personne sera...","Business, Finance, Administration",Vitalité Health Network,https://vitalitenb.itacit.com/itacit-career-ui/postings/172973?CLIENT=73224542677&SID=4&LANGUAGE=fr
Business Systems Analyst,Department of Education and Early Childhood Development,Fredericton,"Jun 15, 2024","Business Systems Analyst Permanent (OPEN) Department of Education and Early Childhood Development Fredericton / Flexible Work Location within New Brunswick At the Department of Education and Early Childhood Development (EECD), we are dedicated to...","Engineers, Architects, IT, Natural Science",CareerBeacon,https://www.careerbeacon.com/en/job/2079856/department-of-education-and-early-childhood-development/business-systems-analyst/fredericton-nb
Learning Specialist - Provincial Coordination of Sensory Services,Department of Education and Early Childhood Development,Fredericton,"Jun 15, 2024",CONTRACT (OPEN) Learning Specialist - Provincial Coordination of Sensory Services Department of Education and Early Childhood Development Fredericton / Flexible Work Location within New Brunswick At the Department of Education and Early Childhood...,"Social, Legal, Education, Gov't",CareerBeacon,https://www.careerbeacon.com/en/job/2079858/department-of-education-and-early-childhood-development/learning-specialist-provincial-coordination-of-sensory-services/fredericton-nb
Quality Program Consultant,Department of Education and Early Childhood Development,Fredericton,"Jun 15, 2024","Quality Program Consultant Department of Education and Early Childhood Development Fredericton / Flexible Work Location within New Brunswick 1-Year Contract At the Department of Education and Early Childhood Development (EECD), we are dedicated to...","Business, Finance, Administration",CareerBeacon,https://www.careerbeacon.com/en/job/2077369/department-of-education-and-early-childhood-development/quality-program-consultant/fredericton-nb
Shipper/Receiver I,"J.D. Irving, Limited",Moncton,"Jun 15, 2024","Shipper Kent is the largest retail building supply chain in Atlantic Canada. Our mission is to be the best source of home improvement products through superior service, quality products and everyday great prices. We protect our customers and staff...","Business, Finance, Administration",Grabjobs CA,https://grabjobs.co/canada/job/full-time/logistics-supply-chain/shipperreceiver-i-50249197
YARD ASSOCIATE,"J.D. Irving, Limited",Saint John,"Jun 15, 2024","YARD ASSOCIATE Are you looking to grow your career and knowledge in a fast paced, friendly, safety-oriented environment? Are you up for the challenge of elevating the customer experience through providing the best solution as a trusted partner for...","Business, Finance, Administration",Grabjobs CA,https://grabjobs.co/canada/job/full-time/technology/yard-associate-50248619
"FINANCIAL ANALYST, CPA","J.D. Irving, Limited",Saint John,"Jun 15, 2024","FINANCIAL ANALYST, CPA The Construction and Equipment Division, a part of the J.D. Irving, Limited's group of companies, is a key player in the North American construction industry. With five operating units within the division, the group provides...","Business, Finance, Administration",Grabjobs CA,https://grabjobs.co/canada/job/full-time/manufacturing/financial-analyst-cpa-50249507
Patient Care Attendant 1,NEW BRUNSWICK EXTRA-MURAL PROGRAM,Location Unknown,"Jun 15, 2024","Patient Care Attendant 1 Competition # EM24193, Full Time Permanent, Eastern Charlotte Closing date: June 27, 2024 Apply Now COMPETITION NUMBER EM24193 CLASSIFICATION NAME Patient Care Attendant 1 POSITION TITLE Patient Care Attendant 1...",Health,NEW BRUNSWICK EXTRA-MURAL PROGRAM,https://extramuralnb.ca/en/careers/em24193---patient-care-attendant-1/
SURVEY FIELD TECHNICIAN,Southwest Surveys,Location Unknown,"Jun 15, 2024","Southwest Surveys is searching for a Survey Field Technician to join our growing team in Newmarket, New Brunswick. Located 15-minutes west of Fredericton, we are strategically placed to serve southwest New Brunswick and the greater capital region....","Engineers, Architects, IT, Natural Science",CareerBeacon,https://www.careerbeacon.com/en/job/2079899/southwest-surveys/survey-field-technician/new-market-nb
Hot Shot Driver (Part-Time),Keltic Transportation,Moncton,"Jun 15, 2024","Position: Hot Shot Driver (part time) Location: Moncton, N.B. Keltic Expedite and White Glove division is actively seeking a hardworking, dedicated individual. Class 5 license required/ air brakes would be an asset Responsibilities and Duties: -...","Trades, Transport, Construction",Grabjobs CA,https://grabjobs.co/canada/job/part-time/logistics-supply-chain/hot-shot-driver-part-time-50249212
Health And Safety Coordinator,IMPERIAL MANUFACTURING GROUP,Dieppe,"Jun 15, 2024","We are looking for self-motivated, experienced Health & Safety Coordinator for our Dieppe location. If you are our ideal candidate, you live and breathe the role that safety and wellness play in a manufacturing and distribution environment. You are...","Engineers, Architects, IT, Natural Science",CareerBeacon,https://www.careerbeacon.com/en/job/2078945/imperial-manufacturing-group/health-and-safety-coordinator/dieppe-nb
"Enseignante ou enseignant, Soin infirmiers auxiliaires",Collège communautaire du Nouveau-Brunswick,Bathurst,"Jun 15, 2024","APPEL D'INTÉRÊT ENSEIGNANTE OU ENSEIGNANT - SOINS INFIRMIERS AUXILIAIRES No 24-6775-041 Le Collège communautaire du Nouveau-Brunswick, (CCNB), est à la recherche d'enseignantes ou enseignants - Soins infirmiers auxiliaires afin de se créer un...","Social, Legal, Education, Gov't",CareerBeacon,https://www.careerbeacon.com/en/job/2075554/college-communautaire-du-nouveau-brunswick/enseignante-ou-enseignant-soin-infirmiers-auxiliaires/campbellton-nb
"Enseignante ou enseignant, Soin infirmiers auxiliaires",Collège communautaire du Nouveau-Brunswick,Caraquet,"Jun 15, 2024","APPEL D'INTÉRÊT ENSEIGNANTE OU ENSEIGNANT - SOINS INFIRMIERS AUXILIAIRES No 24-6775-041 Le Collège communautaire du Nouveau-Brunswick, (CCNB), est à la recherche d'enseignantes ou enseignants - Soins infirmiers auxiliaires afin de se créer un...","Social, Legal, Education, Gov't",CareerBeacon,https://www.careerbeacon.com/en/job/2075554/college-communautaire-du-nouveau-brunswick/enseignante-ou-enseignant-soin-infirmiers-auxiliaires/campbellton-nb
"Enseignante ou enseignant, Soin infirmiers auxiliaires",Collège communautaire du Nouveau-Brunswick,Shippagan,"Jun 15, 2024","APPEL D'INTÉRÊT ENSEIGNANTE OU ENSEIGNANT - SOINS INFIRMIERS AUXILIAIRES No 24-6775-041 Le Collège communautaire du Nouveau-Brunswick, (CCNB), est à la recherche d'enseignantes ou enseignants - Soins infirmiers auxiliaires afin de se créer un...","Social, Legal, Education, Gov't",CareerBeacon,https://www.careerbeacon.com/en/job/2075554/college-communautaire-du-nouveau-brunswick/enseignante-ou-enseignant-soin-infirmiers-auxiliaires/campbellton-nb
"Enseignante ou enseignant, Soin infirmiers auxiliaires",Collège communautaire du Nouveau-Brunswick,Dieppe,"Jun 15, 2024","APPEL D'INTÉRÊT ENSEIGNANTE OU ENSEIGNANT - SOINS INFIRMIERS AUXILIAIRES No 24-6775-041 Le Collège communautaire du Nouveau-Brunswick, (CCNB), est à la recherche d'enseignantes ou enseignants - Soins infirmiers auxiliaires afin de se créer un...","Social, Legal, Education, Gov't",CareerBeacon,https://www.careerbeacon.com/en/job/2075554/college-communautaire-du-nouveau-brunswick/enseignante-ou-enseignant-soin-infirmiers-auxiliaires/campbellton-nb
"Enseignante ou enseignant, Soin infirmiers auxiliaires",Collège communautaire du Nouveau-Brunswick,Edmundston,"Jun 15, 2024","APPEL D'INTÉRÊT ENSEIGNANTE OU ENSEIGNANT - SOINS INFIRMIERS AUXILIAIRES No 24-6775-041 Le Collège communautaire du Nouveau-Brunswick, (CCNB), est à la recherche d'enseignantes ou enseignants - Soins infirmiers auxiliaires afin de se créer un...","Social, Legal, Education, Gov't",CareerBeacon,https://www.careerbeacon.com/en/job/2075554/college-communautaire-du-nouveau-brunswick/enseignante-ou-enseignant-soin-infirmiers-auxiliaires/campbellton-nb
INTERNAL INVESTIGATOR,Cooke Aquaculture,Saint John,"Jun 15, 2024","Cooke is a global seafood company with operations in North America, Europe, South America and Australia. Our company’s success is driven by our dynamic, highly skilled, and innovative management team, supported by dedicated employees who live in...",Management,Cooke Aquaculture,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=5d223159-c6e6-4a58-8983-33b7d2ffb0d2&ccId=19000101_000001&lang=en_CA
Cut Shop,KENT BUILDING SUPPLIES,Moncton,"Jun 15, 2024","CUT SHOP ASSOCIATE Kent Building Supplies is the largest retail building supply chain in Atlantic Canada. Our mission is to be the best source of home improvement products through superior service, quality products and everyday great prices. We...","Business, Finance, Administration",Grabjobs CA,https://grabjobs.co/canada/job/full-time/retail/cut-shop-50248747
Home Health Care Consultant-Reg. PT,Sobeys,Moncton,"Jun 15, 2024","Home HealthCare Consultant Ready to Make an impact? The Home HealthCare Consultant will provide customers with friendly, knowledgable and professional healthcare services. The Consultant will be responsible for the sales of personal care supplies...",Health,Grabjobs CA,https://grabjobs.co/canada/job/full-time/healthcare-careworkers/home-health-care-consultantreg-pt-50249646
Program Analyst,Department of Health,Fredericton,"Jun 15, 2024","Program Analyst Open Competition Department of Health Temporary Opportunity (1 year) Fredericton The Department of Health has an opening for a Program Analyst within the Medicare and Physician Services Branch in Fredericton, reporting to the Manager...","Business, Finance, Administration",Grabjobs CA,https://grabjobs.co/canada/job/full-time/admin-operations/program-analyst-50075760
Sales Development Representative,CANONICAL,Moncton,"Jun 15, 2024","Canonical is a global software company that publishes Ubuntu and open-source enterprise solutions for cloud, developer, IoT and AI. Ubuntu is the fastest growing Linux distribution and ranks as the number #1 OS in the cloud. In partnership with...","Sales, Services",Grabjobs CA,https://grabjobs.co/canada/job/full-time/marketing-media/sales-development-representative-50249089
GSI Alliance Sales Director,Canonical - Jobs,Moncton,"Jun 15, 2024","Canonical is a leading provider of open source software and operating systems to the global enterprise and technology markets. Our platform, Ubuntu, is very widely used in breakthrough enterprise initiatives such as public cloud, data science, AI,...",Management,CareerBeacon,https://www.careerbeacon.com/en/job-9/1356772/canonical-jobs/gsi-alliance-sales-director/moncton-nb
"Telco Cloud Engineer (5G, OpenRan, Kubernetes, OpenStack)",Canonical - Jobs,Moncton,"Jun 15, 2024","The role of a Telco Field Engineer at Canonical The telco industry is moving to software-defined services. This transformation is driven by open source software, cloud computing and the move to VNF / CNF approaches. Canonical Ubuntu is a key...","Engineers, Architects, IT, Natural Science",CareerBeacon,https://www.careerbeacon.com/en/job-9/1356798/canonical-jobs/telco-cloud-engineer-5g-openran-kubernetes-openstack/moncton-nb
BUS BOY/GIRL,CRO-BEL,Saint John,"Jun 15, 2024","Overview Languages English Education - No degree, certificate or diploma Experience Experience an asset","Sales, Services",Government of Canada,https://www.jobbank.gc.ca/jobsearch/jobposting/41282165?source=searchresults
Civil Engineer,DILLON CONSULTING,Fredericton,"Jun 15, 2024",Overview Your opportunity Are you someone with strong leadership and technical capabilities? Do you enjoy building relationships and working collaboratively in a team environment with both internal and external stakeholders? Are you a thought...,"Engineers, Architects, IT, Natural Science",Tapwage_CA,https://tapwage.com/job/88599317-civil-engineer
Agent(e) de sécurité des soins de santé,Paladin Security,Wellington,"Jun 15, 2024","Êtes-vous intéressé(e) à commencer une carrière dans une industrie en pleine croissance et au rythme rapide ? En tant que fournisseur de services de sécurité à des clients ayant des besoins de sécurité complexes, le Groupe de sécurité Paladin vous...","Engineers, Architects, IT, Natural Science",TweetMyJobs,https://www.careerarc.com/job-listing/paladin-security-jobs-agent-e-de-securite-des-soins-de-sante-45864517
Central Administrative Assistant,New Brunswick Legal Aid Services Commission,Moncton,"Jun 15, 2024","Central Administrative Assistant Criminal Law Services Open Competition Full Time, Permanent Moncton - The New Brunswick Legal Aid Services Commission (NBLASC) is seeking individuals to join the Criminal Law Services Branch as a Central...","Business, Finance, Administration",Grabjobs CA,https://grabjobs.co/canada/job/full-time/others/central-administrative-assistant-50248013
Biologist,Department of Transportation and Infrastructure,Fredericton,"Jun 15, 2024","Department of Transportation and Infrastructure Biologist Open Environmental Services Fredericton Who we are The work we do has a positive impact on our communities and helps improve the everyday lives of New Brunswickers. Together, we are over...","Engineers, Architects, IT, Natural Science",Grabjobs CA,https://grabjobs.co/canada/job/full-time/technology/biologist-50248549
Dispatcher,Aim Solder,Saint John,"Jun 15, 2024","Company Description WHY JOIN THE AIM FAMILY? We are proud to offer full time, permanent positions, with competitive salaries, group benefits, an excellent Employee Assistance Program and RRSP matching incentive! Not to mention, we provide work...","Business, Finance, Administration",Tapwage_CA,https://tapwage.com/job/88745729-dispatcher
Class 3 - Roll Off Driver,Integrated Staffing Limited,Moncton,"Jun 15, 2024","We Recruit. It's that simple. Every day we meet with candidates to find the best local talent in the market. Through an understanding of our clients business, we turn today's talent into tomorrow's success.Our client is currently seeking a Class 3...","Trades, Transport, Construction",CareerBeacon,https://www.careerbeacon.com/en/job-9/1356334/integrated-staffing-limited/class-3-roll-off-driver/moncton-nb
Networking Sales Specialist,DELL,Location Unknown,"Jun 15, 2024","At Dell Technologies, we create the extraordinary. Our Outside Sales Product Specialists are the experts who sell innovation to the world. Oversee a set of products and services, they get to know their portfolio inside and out. Our Outside Sales...","Sales, Services",TipTopJob Group,https://www.tiptopjob.com/search/jobs/130652086_-networking%2Dsales%2Dspecialist%2Dnew%2Dbrunswick%2Dcanada-_job.asp
Warehouse Lead,Calian Group,Oromocto,"Jun 15, 2024",Posted 4 days ago calendar_today Immediate Start Job Description Position Overview Calian is seeking a Warehouse Lead to assist our client with the facilitation of their project. The Warehouse Lead is a crucial role in the implementation of the...,"Trades, Transport, Construction",86Network,https://www.86network.com/jobs/oromocto/ca/calian-group/warehouse-lead-2blqwa?latitude=&longitude=&index=12&location_query=Canada&query=&?latitude=&longitude=&index=12&location_query=Canada&query=
SANDWICH ARTIST,Miramichi Subway Inc,Miramichi,"Jun 15, 2024","Overview Languages Bilingual Education - No degree, certificate or diploma Experience Will train Responsibilities Tasks - Keep records of the quantities of food used - Portion and wrap foods - Prepare, heat and finish simple food items - Serve...","Sales, Services",Government of Canada,https://www.jobbank.gc.ca/jobsearch/jobposting/41283121?source=searchresults
Shift manager - fast food restaurant,Miramichi Subway Inc,Miramichi,"Jun 15, 2024","Employer Name: Miramichi Subway SpiderID: 11447070 Location: Miramichi, New Brunswick Date Posted: 10/6/2021 Wage: $12.00 to $14.00 / h Category: Restaurant/Bar/Club/Food/Beverages Job Code: Number Of Openings: 2 Job Description: Supervise,...","Sales, Services",JobSpider,https://www.jobspider.com/job/view-job-11447070.html
Microsoft .NET Developer,TV2 Consulting,Saint John,"Jun 15, 2024","- Requires Mastery of C#, T-SQL, ASP.NET, .NET Core, JavaScript, JQuery, React, XML, AJAX, JSON, HTML5 -XHTML, CSS3, ASP, DOJO - Leveraging AI/ML for custom business solutions, including recommendation engines. - System integration of new platforms...","Engineers, Architects, IT, Natural Science",CareerBeacon,https://www.careerbeacon.com/en/job-9/1355960/tv2-consulting/microsoft-net-developer/saint-john-nb
Full Stack Software Developer,TV2 Consulting,Saint John,"Jun 15, 2024","- Be experienced in the following languages: Vue JS 3 and VS Composition API, Jest Typescript, Vite - Be experienced with GIT, Docker, Keycloak, Bamboo and Bitbucket - Be experienced with Figma - Be experienced in the following languages: Java,...","Engineers, Architects, IT, Natural Science",CareerBeacon,https://www.careerbeacon.com/en/job-1/724812/tv2-consulting/full-stack-software-developer/saint-john-nb
Woodlands Director,AV Group NB,Fredericton,"Jun 15, 2024","AV Group NB Inc. is an exciting and innovative company operating in the unique global market of viscose staple fiber. Located in Nackawic, New Brunswick, our prehydrolysis kraft pulp mill finds itself in a picturesque area of the Saint John River...",Management,Grabjobs CA,https://grabjobs.co/canada/job/full-time/marketing-media/woodlands-director-50249055
Food Service Supervisor,"Hill Top Dining, Indian Cuisine.",Woodstock,"Jun 15, 2024","Food Service Supervisor, Hill Top Dining/Indian Cuisine. Location: 168 Route 555, Woodstock, NB. Salary: 15.30 hourly, / 40 hours per week. Full time. Day, Evening, Weekend, Shift, and overtime. Starts as soon as possible. Languages English....","Sales, Services",JobsCoin.com,https://www.jobscoin.com/jobs_detail.php?job_id=89390
Analyst - Business Valuation,Meridia Recruitment Solutions,Saint John,"Jun 15, 2024","Analyst - Business Valuation Saint John, NB Reference # HL-18211 Ocean Capital Holdings Limited is a privately held company located in Saint John, NB with interests across a number of business lines, including broadcasting, real-estate,...","Business, Finance, Administration",CareerBeacon,https://www.careerbeacon.com/en/job/2077471/meridia-recruitment-solutions/analyst-business-valuation/saint-john-nb
Director of Supply Chain,Meridia Recruitment Solutions,Saint John,"Jun 15, 2024","Job Director of Supply Chain Location: Saint John, New Brunswick TP-18210 Established in 1882, J.D. Irving, Limited (JDI), operates in Canada and the United States with over 19,000 employees and operations across multiple industries including...",Management,CareerBeacon,https://www.careerbeacon.com/en/job/2077415/meridia-recruitment-solutions/director-of-supply-chain/saint-john-nb
Compliance Analyst,ATLANTIC LOTTERY,Moncton,"Jun 15, 2024","Discover The Opportunity Moncton, NB Business Analysis Experienced Full-time Competition Number: 03-2512 Work Location: Office or Hybrid option working from our office in Moncton, NB. Atlantic Lottery (AL) is seeking a Compliance Analyst to work...","Business, Finance, Administration",ATLANTIC LOTTERY,https://jobs.careerbeacon.com/details/compliance-analyst/2075598?utm_source=Atlantic+Lottery&utm_medium=widget&utm_campaign=refer&utm_content=2075598&utm_term=jobtitle
Fredericton Heavy Duty Mechanic,Manpower,Lincoln,"Jun 15, 2024","Job Details Red Seal Technician Our client in Fredericton, New Brunswick is looking for hardworking, motivated talent to join their team. Our client is an industry leader in tractor trailer sales and service. Don't wait... apply today! What's in it...","Trades, Transport, Construction",LocalWork,https://www.localwork.ca/job/9158059/fredericton-heavy-duty-mechanic/
Fredericton Heavy Duty Mechanic,Manpower,Oromocto,"Jun 15, 2024","Reed Seal Technician Our client in Fredericton, New Brunswick is looking for hardworking, motivated talent to join their team. Our client is an industry leader in tractor trailer sales and service. Don’t wait… apply today! What's in it for you? -...","Trades, Transport, Construction",LocalWork,https://www.localwork.ca/job/9158064/fredericton-heavy-duty-mechanic/
Fredericton Heavy Duty Mechanic,Manpower,Harvey,"Jun 15, 2024","Job Details Red Seal Technician Our client in Fredericton, New Brunswick is looking for hardworking, motivated talent to join their team. Our client is an industry leader in tractor trailer sales and service. Don't wait... apply today! What's in it...","Trades, Transport, Construction",LocalWork,https://www.localwork.ca/job/9158062/fredericton-heavy-duty-mechanic/
Fredericton Heavy Duty Mechanic,Manpower,Location Unknown,"Jun 15, 2024","Job Details Red Seal Technician Our client in Fredericton, New Brunswick is looking for hardworking, motivated talent to join their team. Our client is an industry leader in tractor trailer sales and service. Don't wait... apply today! What's in it...","Trades, Transport, Construction",LocalWork,https://www.localwork.ca/job/9158063/fredericton-heavy-duty-mechanic/
Fredericton Heavy Duty Mechanic,Manpower,Southampton,"Jun 15, 2024","Job Details Red Seal Technician Our client in Fredericton, New Brunswick is looking for hardworking, motivated talent to join their team. Our client is an industry leader in tractor trailer sales and service. Don't wait... apply today! What's in it...","Trades, Transport, Construction",LocalWork,https://www.localwork.ca/job/9158057/fredericton-heavy-duty-mechanic/
Fredericton Heavy Duty Mechanic,Manpower,Fredericton,"Jun 15, 2024","Reed Seal Technician Our client in Fredericton, New Brunswick is looking for hardworking, motivated talent to join their team. Our client is an industry leader in tractor trailer sales and service. Don’t wait… apply today! What's in it for you? -...","Trades, Transport, Construction",Grabjobs CA,https://grabjobs.co/canada/job/full-time/others/fredericton-heavy-duty-mechanic-49520266
Fredericton Heavy Duty Mechanic,Manpower,Douglas,"Jun 15, 2024","Job Details Reed Seal Technician Our client in Fredericton, New Brunswick is looking for hardworking, motivated talent to join their team. Our client is an industry leader in tractor trailer sales and service. Don't wait... apply today! What's in it...","Trades, Transport, Construction",LocalWork,https://www.localwork.ca/job/9158027/fredericton-heavy-duty-mechanic/
Fredericton Heavy Duty Mechanic,Manpower,Kingsclear,"Jun 15, 2024","Reed Seal Technician Our client in Fredericton, New Brunswick is looking for hardworking, motivated talent to join their team. Our client is an industry leader in tractor trailer sales and service. Don’t wait… apply today! What's in it for you? -...","Trades, Transport, Construction",Monster,https://www.monster.ca/job-openings/fredericton-heavy-duty-mechanic--22367bf3-830c-4c60-9c6e-d349111e4aa8?mstr_dist=true
Fredericton Heavy Duty Mechanic,Manpower,Blissville,"Jun 15, 2024","Reed Seal Technician Our client in Fredericton, New Brunswick is looking for hardworking, motivated talent to join their team. Our client is an industry leader in tractor trailer sales and service. Don’t wait… apply today! What's in it for you? -...","Trades, Transport, Construction",Monster,https://www.monster.ca/job-openings/fredericton-heavy-duty-mechanic-central-blissville-04--0d4dd2dc-014e-460a-8a0d-85ff2d5c8efc?mstr_dist=true
"Mobile Mortgage Advisor, Saint John, NB",CANADIAN IMPERIAL BANK OF COMMERCE,Saint John,"Jun 15, 2024","We’re building a relationship-oriented bank for the modern world. We need talented, passionate professionals who are dedicated to doing what’s right for our clients. At CIBC, we embrace your strengths and your ambitions, so you are empowered at...","Business, Finance, Administration",Tapwage_CA,https://tapwage.com/job/88694570-mobile-mortgage-advisor-saint-john-nb
Mill Manager,Interfor,Bathurst,"Jun 15, 2024","Mill Manager, Bathurst, British Columbia When you join our team as a Mill Manager , you will be responsible for the safe, efficient operation of the Bathurst Mill while achieving business plan objectives for safety, productivity, quality and costs....","Processing, Manufacturing, Utilities",Grabjobs CA,https://grabjobs.co/canada/job/full-time/marketing-media/mill-manager-50249065
Radiator Installer,692599 New Brunswick Ltd,Fredericton,"Jun 15, 2024",Overview Languages French Education - Secondary (high) school graduation certificate Experience 1 year to less than 2 years Responsibilities Tasks - Assist mechanics and perform other duties as directed - Change engine oil and lubricate running...,"Trades, Transport, Construction",Grabjobs CA,https://grabjobs.co/canada/job/full-time/customer-service-guest-services/radiator-installer-50248431
TECHNICIEN DE MAINTENANCE,Avizia RH,Moncton,"Jun 15, 2024","Technicien de Maintenance Lieu de travail : Maritimes, Canada Description de l'entreprise : Depuis 2002, notre client , expert en vente et réparation de nacelles et plateformes élévatrices, est reconnu pour la qualité de ses services et l'expertise...","Sales, Services",CareerBeacon,https://www.careerbeacon.com/en/job-9/1355460/avizia-rh/technicien-de-maintenance/moncton-nb
Para-Transit Driver,60TB - PWTransit Canada LTD,Fredericton,"Jun 15, 2024","Para-Transit Driver PWTransit is seeking a part-time Para-Transit Bus Driver to join our team in Fredericton. We offer competitive wages, ongoing training and development, and a family-oriented team environment. Drivers will be responsible for...","Trades, Transport, Construction",CareerBeacon,https://www.careerbeacon.com/en/job-9/1356036/60tb-pwtransit-canada-ltd/para-transit-driver/fredericton-nb
